# ordinal	sha	result	oss_commit	detail
2	9f07ea790cffcbaf5663e6c6597914b4efb244b1	empty	-	already present or EE-only after boundary strip
70	67d3342bdb029b78e7cc49372e84183418d2d0d6	conflict	-	api-server/migrations/migrations/app/atlas.sum
73	9d5aa6fe1cd1b2209e14daa00178aff7b5609396	conflict	-	llm/llm-server/agents/agent_k8s_orchestrator.go
74	cffbe90695b0ce45216eea06152ce9f7c47ea76e	conflict	-	llm/llm-server/agents/agent_resource_search.go,llm/llm-server/config/config.go
77	dcf37b32db0bb386342a091b071384743f307a19	conflict	-	app/src/components/k8s/details/groupedevents/KubernetesGroupedEventsTable.tsx
78	dff4042d0e6fc3bc6077aa0991ae5422f6279a48	conflict	-	api-server/migrations/migrations/app/atlas.sum
81	aeb0413c08f4ac6d2b1231857d61339d3fda0124	conflict	-	api-server/migrations/migrations/app/atlas.sum
88	608e5d7d72b91ea2f57826f1607adb71ef385d2b	conflict	-	llm/llm-server/agents/chain_router.go,llm/llm-server/agents/chain_router_test.go,llm/llm-server/tools/common_services_server.go
90	608bb0cabca1caad0ed82e1edae9d09406fe356c	conflict	-	notifications-server/notifications_server/repositories/channel_watch_repository.py,notifications-server/notifications_server/services/channel_watch.py,notifications-server/tests/test_channel_watch.py
97	a8f34002f813a0a442a76fd67b8a4185b0231199	conflict	-	api-server/migrations/migrations/app/atlas.sum,notifications-server/notifications_server/configs/settings.py,notifications-server/notifications_server/models/models.py,notifications-server/notifications_server/services/cache.py
100	75bc458cd30aa9ae3b057eaaa8d1d423e2b5f4ee	conflict	-	llm/llm-server/agents/core/kb_prestep_test.go,llm/llm-server/tools/core/rag_service.go
101	b38017f721a72bbb657fc4c9d21c5b8a61d481a9	conflict	-	app/src/components/common/navigation/GlobalPageSearch.jsx
102	642596281a46fdf77de0b3433d67e3c52c4964e0	conflict	-	api-server/migrations/migrations/app/atlas.sum
103	98fd4dcb9de6361e4c856e6c36551878a0042873	conflict	-	api-server/services/observability/log_default_filters.go
110	d6a05f2105ebcc2cd1c65e26675a542ea516b158	conflict	-	api-server/services/knowledge_graph/core/service.go,app/src/components/knowledge-graph/KnowledgeGraph.jsx
115	697a8b03f4b84958a6891743029722511a69af11	conflict	-	api-server/services/knowledge_graph/core/service.go,app/src/components/knowledge-graph/KnowledgeGraph.jsx
120	a3be3ad0d79476891bcc03a145115132f0c73aa2	conflict	-	app/src/components/common/icons/LangTypeIcon.jsx,app/src/components/knowledge-graph/KnowledgeGraph.jsx
122	646440f9d9b08ac59dbe42e7e37d2aebaf52b769	conflict	-	app/src/components/knowledge-graph/KnowledgeGraph.jsx
123	25689ef0d1b73173b3dbaa7d6e99fd274be43921	conflict	-	llm/llm-server/agents/prompts_repo/agent_k8s_native.txt
126	31b5a01f98b5c8dd64a9112822220c4f5fec1b77	conflict	-	api-server/services/knowledge_graph/core/service.go
130	daf51ea4dbc90933e9ac68c4f3a36bd1072e234b	conflict	-	api-server/migrations/migrations/app/atlas.sum
139	6807cbbe47b68040c522fb5e1239ae71bfd0785f	conflict	-	api-server/migrations/migrations/app/atlas.sum
140	5246f487e38ddc0b9b8a8817dd121a7f42d37ae5	conflict	-	api-server/migrations/migrations/app/atlas.sum
141	ff01f0e8a462ca5ad6a9d1003190eb8e1f9c1d79	conflict	-	llm/llm-server/agents/agent_azure_orchestrator.go,llm/llm-server/agents/agent_gcp_orchestrator.go,llm/llm-server/agents/agent_k8s_orchestrator.go
142	d72268f187a1c0673f6eb84de41f061079e3b974	conflict	-	llm/gateway/proxy/fingerprint.go,llm/gateway/proxy/fingerprint_test.go,llm/gateway/proxy/generic.go,llm/gateway/proxy/handler.go
147	2825353c09fcc61f424da19fbb323af09ade6507	conflict	-	api-server/migrations/migrations/app/atlas.sum
148	c6ae28725d0350a6a2b1f4770086d921afd55ca7	conflict	-	llm/gateway/docs/generic-endpoint.md,llm/gateway/ee/secrets/resolver.go,llm/gateway/ee/secrets/resolver_test.go
149	126226818c3a8dd2d207b4735c056eee9fb3da70	conflict	-	app/src/api1/kubernetes/index.ts,app/src/components/k8s/investigate/cards/RemediationPanel.jsx,app/src/lib/actions.graphql,llm/llm-server/agents/prompts_repo/tool_remediation_generate_json.txt,llm/llm-server/api/remediation.go,llm/llm-server/api/remediation_test.go,llm/llm-server/events/event_analyzer_repository.go
152	0a174f135371f2194ac8dee60fb96441949d07f1	conflict	-	llm/gateway/docs/generic-endpoint.md,llm/gateway/proxy/modelname.go,llm/gateway/proxy/modelname_test.go
159	7f28e8a74d7771d4b60f8f6c8076e540e6749ed8	conflict	-	llm/gateway/.env.example,llm/gateway/cmd/gateway/main.go,llm/gateway/docs/generic-endpoint.md,llm/gateway/engine/provider.go,llm/gateway/engine/provider_test.go,llm/gateway/proxy/modelname.go,llm/gateway/proxy/modelname_test.go
162	0b4836d47634823ebcc179f9ec5c6f931d39cc0f	conflict	-	api-server/migrations/migrations/app/atlas.sum,notifications-server/notifications_server/configs/settings.py,notifications-server/notifications_server/models/models.py,notifications-server/notifications_server/repositories/channel_message_repository.py,notifications-server/notifications_server/repositories/channel_watch_repository.py,notifications-server/notifications_server/services/cache.py,notifications-server/notifications_server/services/channel_ingest.py
165	0b95dc8d27f2e69b40e23af335ee487f47e333bf	conflict	-	app/src/components/k8s/details/groupedevents/KubernetesGroupedApplications.tsx
166	058ab39fb956c2edbcb15a97a46120307033f967	conflict	-	llm/llm-server/api/conversation_sync_repro_test.go
171	476c1a5a6be2f14e653207ffba5c46dd441956a6	conflict	-	app/__tests__/components/common/CustomPRLink.test.jsx,app/src/components/recommendations/security/KubernetesSecurityDetails.jsx
180	fafb313365f5cbaacc726d9c5949ed752551bcd1	conflict	-	api-server/migrations/migrations/app/atlas.sum
185	49680322f9c32c4608d852d4f028194aa06df0e7	conflict	-	llm/gateway/docs/README.md
189	7043238a7ea4b38643d2fae4294fdadabd3d57f2	conflict	-	.github/workflows/app-e2e-tests-dev.yaml
190	bfed77d376a6807a534d3239e915e0a52ac52fa0	conflict	-	api-server/migrations/migrations/app/atlas.sum
193	85b3d61658d7e6336e1d5498a137a1e97a4511ce	conflict	-	app/src/components/common/navigation/GlobalPageSearch.jsx
199	e8626fb61fdd982fb4db4ae7655116f44f616e01	conflict	-	app/src/components/k8s/investigate/cards/RemediationPanel.jsx
204	e69b4b72e992f17ffea04ea8c6472b20bd0ad9b8	conflict	-	api-server/services/knowledge_graph/core/service.go
210	5ce5b2de1ab87ec336c4276535af93f3d5041500	conflict	-	api-server/migrations/migrations/app/atlas.sum
216	f1a67c40d41ad60d54ce88f8d3a7039c3e842436	conflict	-	app/src/api1/gateway-config/index.ts,app/src/ee/components/gateway-config/GatewayConfigTab.tsx,app/src/lib/actions.yaml,llm/gateway/ee/admin/admin.go
219	c92368819e78fb3cc2bf6e81c8059dbc53e43f29	conflict	-	llm/gateway/.env.example,llm/gateway/cmd/gateway/main.go,llm/gateway/ee/admin/tiers.go,llm/gateway/ee/admin/tiers_test.go,llm/gateway/proxy/generic.go,llm/gateway/proxy/tier_test.go,llm/gateway/routing/tiers.go,llm/gateway/routing/tiers_test.go
220	8e1c160572827cc74ffbdb2085d4aa2d31f70a93	conflict	-	llm/gateway/.env.example,llm/gateway/docs/generic-endpoint.md,llm/gateway/ee/secrets/resolver.go,llm/gateway/ee/secrets/resolver_test.go,llm/gateway/engine/provider.go,llm/gateway/engine/provider_test.go,llm/gateway/proxy/modelname.go,llm/gateway/proxy/modelname_test.go
232	29cfd66ca09aec62cc84ba799c7e35c4a8f7c294	conflict	-	deploy/kubernetes/nudgebee/values.yaml
233	7188807a653dc4561e9d492b1a975e45c13f86fa	conflict	-	app/package-lock.json,deploy/kubernetes/nudgebee-ml-base-image/Dockerfile,llm/code-analysis/Dockerfile,llm/llm-server/Dockerfile_base,llm/llm-server/go.mod,llm/rag-server/pyproject.toml,ml-k8s-server/poetry.lock,ml-k8s-server/pyproject.toml
234	75622c035e1db925a1bbc13f892e8631863b0e6d	conflict	-	deploy/kubernetes/nudgebee/values.yaml
239	db553fe48fd85322b566e19143a4ebe66bc2a3ca	conflict	-	api-server/migrations/migrations/app/atlas.sum
242	4c7cea4ff77a9a369db7f4c80cd792b23b4f8ba1	conflict	-	collector-server/cloud-collector/go.mod,collector-server/cloud-collector/go.sum
243	ed65a65ac431f4dd63f27b47d4af91d6c94ac5df	conflict	-	api-server/services/go.mod,api-server/services/go.sum
247	70ea68ad1a273c77417ab6b2310c4366568a2ede	conflict	-	.github/dependabot.yml
261	ed281a4421af6c76d2f2bfca69380bccae27a455	conflict	-	api-server/services/go.mod
262	55b84c644fee98d7fad0e6f29d95a2dde98438fa	conflict	-	api-server/services/knowledge_graph/core/filter_options_cache_test.go,api-server/services/knowledge_graph/core/filter_options_cache_version_test.go,api-server/services/knowledge_graph/core/service.go,api-server/services/knowledge_graph/core/service_test.go,api-server/services/knowledge_graph/test/e2e_tier_b_test.go,app/src/api1/kubernetes1/index.ts,app/src/components/knowledge-graph/KnowledgeGraph.jsx,app/src/lib/actions.graphql
263	20bc055ecf3809c9dc1ce149cf0ab5af6f3264fc	conflict	-	ml-k8s-server/poetry.lock
268	ddf226d702609d352431e3f0f5e346e1d97c382d	conflict	-	ml-k8s-server/poetry.lock
269	845ecace99fa6d9da4c9d8add939f38c62c82c06	conflict	-	.github/dependabot.yml
271	07db431207a4143c56f1e0a913181af693a0b6ac	conflict	-	api-server/services/knowledge_graph/sources/identity_enricher.go,api-server/services/knowledge_graph/sources/identity_enricher_test.go
272	42f030117ac82a831381aa5c09e7cc0da418700f	conflict	-	app/src/components/onboarding/FirstLoginTour.jsx
273	38b1297870c0baa89dd0bb1a4c6c61cef1e6ff82	conflict	-	api-server/migrations/migrations/app/atlas.sum
274	c399641057417c2b547ad00190149cd9d2e3e516	conflict	-	app/src/pages/automation/index.jsx
277	17a54d69a7744384cb2c17ded326a55a73cfa128	conflict	-	api-server/services/go.mod,api-server/services/go.sum
278	8597c5871152e19c33a76e4efb32754a80068638	conflict	-	llm/llm-server/go.mod,llm/llm-server/go.sum
279	04bdb500d71c7992ad4848e439668928890bccd0	conflict	-	api-server/migrations/migrations/app/atlas.sum,api-server/services/traces/helpers.go,api-server/services/traces/service_classification_test.go
285	33798b23ca167fb83969fce29d4a6ccf4824d4ac	conflict	-	app/src/components/llm/gateway-usage/GatewayUsage.tsx
286	6622bca34959c021298eb347992898d7a12ffcdf	conflict	-	llm/gateway/ee/admin/request_body.go,llm/gateway/usage/handler.go,llm/gateway/usage/query.go
287	4a5ea9230dc93c242acf5794f7b47d893d5d276d	conflict	-	app/src/components/events/UpdateEvent.jsx
292	1b33f39003f8e24ea6add6a6031a3538b077bf13	conflict	-	api-server/services/knowledge_graph/flow_sources/traces_flow_source.go
294	2d621e05c8884c704fa202a3931ef765e9e68a84	conflict	-	api-server/migrations/run-migrations.sh
295	9334e6f9114f65a5f7c8f7485e12e6b3cee2e467	conflict	-	app/src/components/llm/SettingsModal.jsx,app/src/lib/actions.yaml
299	d31ae7d38d17ea9230f0602c2ae6fcbe29d44d0a	conflict	-	api-server/migrations/migrations/app/atlas.sum
302	96007a1ade8f0585697ef88f076729e3275e039c	conflict	-	llm/llm-server/agents/chain_router.go,llm/llm-server/config/config.go
323	f224f7662d1a0881da7112345146dd0821379dea	conflict	-	.github/workflows/app-test-gke.yaml
331	2531bc6ea5cacfa54151e7cb8cf192ea5b90cffb	conflict	-	llm/code-analysis/config/config_override_test.go,llm/llm-server/agents/agent_code2.go,llm/llm-server/agents/agent_code2_llmforward_test.go
334	baa524daae52f9315933616e8b2d5844a53b8cd0	conflict	-	api-server/migrations/migrations/app/atlas.sum
342	573a4f2c35527f14ce7375ca1c914ab3c64a77e3	conflict	-	app/src/components/llm/cost-analyser/CostAnalyser.tsx
362	1a1eab735f3ef25c91354d5cb92f0758fa288488	conflict	-	llm/llm-server/agents/agent_log_fetch_v2.go
368	4c8f3d92eb682602c6e7891ced61549bef11b8cc	conflict	-	llm/llm-server/agents/agent_k8s_orchestrator.go
372	f7bc2c382a48c403ceb1c93729defa6013025669	conflict	-	llm/llm-server/agents/agent_resource_search.go
375	ed9ff4e4797a244a6b986dfdb2b43ebdce12d401	conflict	-	app/src/components/llm/SettingsModal.jsx
380	b9e640231a39f626dccc48554f34b194d201cf20	conflict	-	api-server/migrations/migrations/app/atlas.sum
381	a7aa237477b681ada495d8cca7333dd640b75996	conflict	-	api-server/services/integrations/core/subject_resolution.go,api-server/services/integrations/elasticsearch_webhook.go,api-server/services/integrations/elasticsearch_webhook_test.go
389	483a443c94a3eb6ca9ce81565320f07f0d6ce60e	conflict	-	api-server/migrations/migrations/app/atlas.sum,app/src/pages/optimise/index.jsx
394	c793467cc6698949ac4bd5074f563131aa5f1831	conflict	-	llm/llm-server/agents/agent_log_fetch_v2.go,llm/llm-server/agents/agent_log_fetch_v2_test.go
397	bee59daf1df7da2185092ca63eceece109eb02af	conflict	-	api-server/services/observability/elasticsearch_saas.go,api-server/services/observability/elasticsearch_saas_test.go
400	0361a71ad8bfee8d6820a28675cf6cb52712223b	conflict	-	llm/llm-server/agents/core/executor.go
406	6c075f18d2f4d1086907fd5d6a1f8d8c4a1bdd68	conflict	-	api-server/services/observability/elasticsearch_saas_test.go,llm/llm-server/agents/agent_log_fetch_v2_test.go
407	5fb41cb37dfd26eed8c49d4a2fc73ae263a75541	conflict	-	notifications-server/notifications_server/services/events.py
408	e8c993de8b4b57c27cc90b3b8418e73ce82cce22	conflict	-	api-server/services/observability/elasticsearch_k8s_labels.go,api-server/services/observability/elasticsearch_k8s_labels_test.go
409	47b9178478a3986034b5283d55e84600ca3e64ab	conflict	-	api-server/services/observability/elasticsearch.go,api-server/services/observability/elasticsearch_extract_test.go,api-server/services/observability/elasticsearch_k8s_labels.go,llm/llm-server/agents/agent_log_fetch_v2.go
414	2c1f7f33f5fac3e1629664245c7f337c9265f1e3	conflict	-	llm/llm-server/agents/agent_log_test.go
417	382b6c634e7a800292de6a744c198f2e55f2096b	conflict	-	llm/llm-server/agents/core/planner_react_3_test.go
420	c4dda3a3e798167a3b7c4e640f2ceec9db5cea75	conflict	-	app/src/api1/memory/index.ts,app/src/ee/components/memory2/InferredPreferencesTab.jsx,llm/llm-server/api/memory_v2.go,llm/llm-server/ee/memory/admin.go,llm/llm-server/ee/memory/stores/preferences/preferences.go,llm/llm-server/ee/memory/stores/preferences/preferences_dao.go,llm/llm-server/memory/preferences_confirm_test.go
421	7166337f56d158d37d87e5c4a58872e8c062341e	conflict	-	app/src/api1/memory/index.ts,app/src/components/llm/KubernetesLLMRequestResponseV2.jsx,llm/llm-server/agents/core/memory_v2.go,llm/llm-server/agents/prompts_repo/memory_extractor.txt,llm/llm-server/api/memory_v2_phase3.go,llm/llm-server/ee/memory/admin.go,llm/llm-server/ee/memory/dedup.go,llm/llm-server/ee/memory/preferences_confirm_test.go,llm/llm-server/ee/memory/stores/decisions/decisions_dao.go,llm/llm-server/ee/memory/stores/preferences/preferences_dao.go,llm/llm-server/memory/decisions_vote_test.go,llm/llm-server/memory/dedup_stores_test.go
422	1d47223f5ebda5f326e32275d77747977948716d	conflict	-	api-server/migrations/migrations/app/atlas.sum
